post_id,title,category,score,num_comments,author,collected_at
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,597,77,armanified,2026-04-06 18:19:13
47658146,France pulls last gold held in US for $15B gain,technology,249,149,teleforce,2026-04-06 18:19:13
47659461,The Intelligence Failure in Iran,technology,32,19,JumpCrisscross,2026-04-06 18:19:13
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,136,11,karimf,2026-04-06 18:19:13
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,54,16,stevebmark,2026-04-06 18:19:13
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,305,75,vbtechguy,2026-04-06 18:19:13
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,100,16,ikessler,2026-04-06 18:19:13
47656335,Does coding with LLMs mean more microservices?,technology,44,34,jer0me,2026-04-06 18:19:13
47659807,Ask HN: How do systems (or people) detect when a text is written by an LLM,technology,8,6,elC0mpa,2026-04-06 18:19:13
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,282,151,thisislife2,2026-04-06 18:19:13
47650312,A tail-call interpreter in (nightly) Rust,technology,173,42,g0xA52A2A,2026-04-06 18:19:13
47648828,"Eight years of wanting, three months of building with AI",technology,824,255,brilee,2026-04-06 18:19:13
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,169,50,MoltenMonster,2026-04-06 18:19:13
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,192,26,desideratum,2026-04-06 18:19:13
47658388,NIMBY Rails,technology,21,3,altilunium,2026-04-06 18:19:13
47640728,Show HN: A game where you build a GPU,technology,921,178,Jaso1024,2026-04-06 18:19:13
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,174,111,1vuio0pswjnm7,2026-04-06 18:19:13
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,53,18,alvivanco,2026-04-06 18:19:13
47651479,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 18:19:13
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,508,231,naves,2026-04-06 18:19:13
47658215,The end of password pain: building frictionless authentication at the Guardian,technology,6,2,Tomte,2026-04-06 18:19:13
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1079,818,firloop,2026-04-06 18:19:13
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,17,5,mikhael,2026-04-06 18:19:13
47637757,Embarrassingly simple self-distillation improves code generation,technology,643,197,Anon84,2026-04-06 18:19:13
